,A11__Attribute_1,A12__Attribute_1,A13__Attribute_1,A14__Attribute_1,A30__Attribute_3,A31__Attribute_3,A32__Attribute_3,A33__Attribute_3,A34__Attribute_3,A40__Attribute_4,A410__Attribute_4,A41__Attribute_4,A42__Attribute_4,A43__Attribute_4,A44__Attribute_4,A45__Attribute_4,A46__Attribute_4,A48__Attribute_4,A49__Attribute_4,A61__Attribute_6,A62__Attribute_6,A63__Attribute_6,A64__Attribute_6,A65__Attribute_6,A71__Attribute_7,A72__Attribute_7,A73__Attribute_7,A74__Attribute_7,A75__Attribute_7,A91__Attribute_9,A92__Attribute_9,A93__Attribute_9,A94__Attribute_9,A101__Attribute_10,A102__Attribute_10,A103__Attribute_10,A121__Attribute_12,A122__Attribute_12,A123__Attribute_12,A124__Attribute_12,A141__Attribute_14,A142__Attribute_14,A143__Attribute_14,A151__Attribute_15,A152__Attribute_15,A153__Attribute_15,A171__Attribute_17,A172__Attribute_17,A173__Attribute_17,A174__Attribute_17,A191__Attribute_19,A192__Attribute_19,A201__Attribute_20,A202__Attribute_20,Attribute_2,Attribute_5,Attribute_8,Attribute_11,Attribute_13,Attribute_16,Attribute_18,Class
0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.23809523809523808,0.2936932079481121,0.75,1.0,0.8062015503875969,0.2857142857142857,1.0,0
1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.14285714285714285,0.13282798648884378,0.5,1.0,0.7751937984496124,0.2857142857142857,1.0,0
2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.4773941863968664,0.5,0.5,0.37209302325581395,0.2857142857142857,1.0,0
3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8571428571428571,1.0,0.25,0.75,0.4806201550387597,0.5714285714285714,1.0,0
4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5714285714285714,0.3583945194183225,1.0,0.75,0.5271317829457365,0.5714285714285714,1.0,0
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.07244009578331403,1.0,1.0,1.0,0.5714285714285714,1.0,0
6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.6657891815601262,0.25,0.75,0.40310077519379844,0.2857142857142857,1.0,0
7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2857142857142857,0.19968600834139458,1.0,0.5,0.7751937984496124,0.2857142857142857,1.0,0
8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.42857142857142855,0.16505177690734074,1.0,0.5,0.49612403100775193,0.2857142857142857,1.0,0
9,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.30952380952380953,0.17875323110103236,0.5,1.0,0.9922480620155039,0.2857142857142857,1.0,0
